Country,Time,Value
Spain,2016-07,-0.5940362
Spain,2016-08,-0.1339965
Spain,2016-09,0.1784965
Spain,2016-10,0.6784551
Spain,2016-11,0.675985
Spain,2016-12,1.568389
Spain,2017-01,2.974662
Spain,2017-02,2.967712
Spain,2017-03,2.290018
Spain,2017-04,2.553214
Spain,2017-05,1.934785
Spain,2017-06,1.509768
Spain,2017-07,1.54878
Spain,2017-08,1.619776
Spain,2017-09,1.792519
Spain,2017-10,1.570625
Spain,2017-11,1.665398
Spain,2017-12,1.112139
Spain,2018-01,0.5749981
Spain,2018-02,1.073524
Spain,2018-03,1.213806
Spain,2018-04,1.079303
Spain,2018-05,2.051589
Spain,2018-06,2.27459
Spain,2018-07,2.24593
Spain,2018-08,2.188655
Spain,2018-09,2.259714
Spain,2018-10,2.262042
Spain,2018-11,1.68596
Spain,2018-12,1.184115
Spain,2019-01,0.9794751
Spain,2019-02,1.090459
Spain,2019-03,1.337624
Spain,2019-04,1.52109
Spain,2019-05,0.8099085
Spain,2019-06,0.4285626
Spain,2019-07,0.5268933
Spain,2019-08,0.3276757
Spain,2019-09,0.0835241
Spain,2019-10,0.1287356
Spain,2019-11,0.408109
Spain,2019-12,0.7880488
